scholarships,scholarship_url
StanGlobal.net,https://stanglobal.net/
Home,https://stanglobal.net/
About Us,https://stanglobal.net/about-us/
Privacy Policy,https://stanglobal.net/privacy-policy/
Contact Us,https://stanglobal.net/contact-us/
Disclaimer,https://stanglobal.net/disclaimer/
Home,https://stanglobal.net/
Bursaries,https://stanglobal.net/category/bursaries/
Bursaries,https://stanglobal.net/category/bursaries/
Son,https://stanglobal.net/author/stanley/
Student Loans in South Africa 2025/2026,https://stanglobal.net/
Aeronautical & Aerospace Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Chemical Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Civil Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Construction Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Electrical Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Electronics Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Environmental Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Industrial Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Instrumentation Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Mechanical Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Mechatronics,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Metallurgy & Metallurgical,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Mine Surveying & Mineral Surveying,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Mining Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Rock Engineering & Rock Blasting,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Sound Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Structural Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Systems Engineering,https://stanglobal.net/engineering-bursaries-in-south-africa-closing/
Armscor Bursary,https://stanglobal.net/armscor-bursary-application-for/
ATNS AIMO Bursary,https://stanglobal.net/atns-aimo-bursary-application/
Cape Winelands District Municipality Mayoral Bursary,https://stanglobal.net/cape-winelands-district-municipality-mayoral-bursary/
Ekurhuleni Metropolitan Municipality Bursary,https://stanglobal.net/ekurhuleni-metropolitan-municipality-bursary/
J.P. Morgan Bursary,https://stanglobal.net/j-p-morgan-bursary-application/
"KwaZulu-Natal Dept of Economic Development, Tourism and Environmental Affairs (EDTEA) Bursary",https://stanglobal.net/edtea-bursary-application/
North West Provincial Government Bursary,https://stanglobal.net/north-west-provincial-government-bursary/
SANSA Bursary,https://stanglobal.net/sansa-bursary-application-for/
South African Civil Aviation Authority Bursary,https://stanglobal.net/south-african-civil-aviation-authority-bursary/
Standard Bank Bursary,https://stanglobal.net/standard-bank-bursary-application/
"Department of Agriculture, Land Reform and Rural Development Bursary",https://stanglobal.net/dalrrd-bursary-application-for-2021-2022/
"Department of Agriculture, Forestry & Fisheries Bursary",https://stanglobal.net/department-of-agriculture-forestry-fisheries-bursary/
Department of Rural Development and Agrarian Reform (DRDAR) Bursary,https://stanglobal.net/dept-of-rural-development-and-land-reform-bursary/
SAMAC Bursary,https://stanglobal.net/samac-bursary-application-for/
AECI Limited Bursary,https://stanglobal.net/aeci-limited-bursary-application/
AfriSam Bursary,https://stanglobal.net/afrisam-bursary-application-sa/
AFROX Bursary,https://stanglobal.net/afrox-bursary-application-for/
Anglo American Platinum Bursary,https://stanglobal.net/anglo-american-platinum-bursary/
ArcelorMittal Bursary,https://stanglobal.net/arcelormittal-bursary-application-for/
Astron Energy Bursary,https://stanglobal.net/astron-energy-bursary/
BHP Billiton Bursary,https://stanglobal.net/bhp-billiton-bursary-application-for/
Cape Winelands District Municipality Mayoral Bursary,https://stanglobal.net/cape-winelands-district-municipality-mayoral-bursary/
CHIETA Bursary,https://stanglobal.net/chieta-bursary-application-for/
Clover Pinnacle Bursary,https://stanglobal.net/clover-pinnacle-bursary-application-sa/
Columbus Stainless Bursary,https://stanglobal.net/columbus-stainless-bursary-application-for/
de Beers Bursary,https://stanglobal.net/de-beers-bursary-application-for/
Department of Mineral Resources Bursary,https://stanglobal.net/department-of-mineral-resources-bursary/
eThekwini Municipality Bursary,https://stanglobal.net/ethekwini-municipality-bursary/
Element Six Bursary,https://stanglobal.net/element-six-bursary-application/
Exxaro Bursary,https://stanglobal.net/exxaro-bursary-application-for/
Foskor Bursary,https://stanglobal.net/foskor-bursary-application-for/
Gauteng Department of Agriculture and Rural Development Bursary,https://stanglobal.net/dalrrd-bursary-application-for-2021-2022/
Glencore Bursary,https://stanglobal.net/glencore-bursary-application-for/
Gold Fields Ltd Bursary,https://stanglobal.net/gold-fields-ltd-bursary-application/
Hatch Bursary,https://stanglobal.net/hatch-bursary-application-for/
Illovo Sugar Ltd Bursary,https://stanglobal.net/illovo-sugar-ltd-bursary-application/
Impala Platinum/ Implats Bursary,https://stanglobal.net/impala-platinum-implats-bursary-sa/
Industrial Development Corporation (IDC) Bursary,https://stanglobal.net/industrial-development-corporation-idc-bursary/
ISFAP Bursary,https://stanglobal.net/isfap-bursary-application/
J.P. Morgan Bursary,https://stanglobal.net/j-p-morgan-bursary-application/
Keaton Energy Mining Bursaries,https://stanglobal.net/keaton-energy-mining-bursaries/
"Limpopo Department of Economic Development, Environment and Tourism (LEDET) Bursary",https://stanglobal.net/ledet-bursary-south-africa/
Lonmin Bursary,https://stanglobal.net/lonmin-bursary-south-africa/
Makhuduthamaga Local Municipality Bursary,https://stanglobal.net/makhuduthamaga-local-municipality-bursary-sa/
merSETA Bursary,https://stanglobal.net/merseta-bursary-application-for/
Northam Zondereinde Mine Bursary,https://stanglobal.net/northam-zondereinde-mine-bursary/
North West Provincial Government Bursary,https://stanglobal.net/north-west-provincial-government-bursary/
NUMSA Bursary,https://stanglobal.net/numsa-bursary-application/
Omnia Bursary,https://stanglobal.net/omnia-bursary-application-for/
Paper Manufacturers Association of South Africa (PAMSA) Bursary,https://stanglobal.net/paper-manufacturers-association-of-south-africa-pamsa-bursary/
PG Group Bursary,https://stanglobal.net/pg-group-bursary-application-for-2021-2022/
PPC Bursary,https://stanglobal.net/ppc-bursary-application-for/
PSG Bursary,https://stanglobal.net/psg-bursary-application-sa/
RCL Foods Bursary,https://stanglobal.net/rcl-foods-bursary-application-sa/
Rio Tinto/ Richards Bay Minerals (RBM) Bursary,https://stanglobal.net/rio-tinto-richards-bay-minerals-rbm-bursary/
Safripol Bursary,https://stanglobal.net/safripol-bursary-application-for/
Santam Bursary,https://stanglobal.net/santam-bursary-application-sa/
Sappi Bursary,https://stanglobal.net/sappi-bursary-application-for/
SARS Bursary,https://stanglobal.net/sars-bursary-application-sa/
Sasol Bursary,https://stanglobal.net/sasol-bursary-application-for/
SEIFSA Bursary,https://stanglobal.net/seifsa-bursary-application-for/
Sibanye-Stillwater Bursary,https://stanglobal.net/sibanye-stillwater-bursary-application/
Standard Bank 150 Bursaries,https://stanglobal.net/standard-bank-150-bursaries/
Standard Bank Bursary,https://stanglobal.net/standard-bank-bursary-application/
TCTA (Trans-Caledon Tunnel Authority) Bursary,https://stanglobal.net/tctatrans-caledon-tunnel-authority-bursary/
Tiger Brands Bursary,https://stanglobal.net/tiger-brands-bursary-sa/
Umgeni Water Bursary,https://stanglobal.net/umgeni-water-bursary-application-for/
Unilever Bursary,https://stanglobal.net/unilever-bursary-application-for/
Upstream Training Trust Bursary,https://stanglobal.net/upstream-training-trust-bursary/
Vhembe District Municipality Mayoral Bursary,https://stanglobal.net/vhembe-district-municipality-mayoral-bursary/
Weir Minerals Africa Bursary,https://stanglobal.net/weir-minerals-africa-bursary-application-for/
WSP | Parsons Brinckerhoff Bursary,https://stanglobal.net/wsp-parsons-brinckerhoff-bursary/
Zutari Bursary South Africa,https://stanglobal.net/zutari-bursary-south-africa/
Access Trust Bursary,https://stanglobal.net/access-trust-bursary-sa/
AECOM Bursary,https://stanglobal.net/aecom-bursary-south-africa/
AfriSam Bursary,https://stanglobal.net/afrisam-bursary-application-sa/
Astron Energy Bursary,https://stanglobal.net/astron-energy-bursary/
Aveng Grinaker-LTA Bursary,https://stanglobal.net/aveng-grinaker-lta-bursary/
Basil Read Bursary,https://stanglobal.net/basil-read-bursary-application-for/
Bigen Bursary,https://stanglobal.net/bigen-bursary-application-for/
Bombela Civils Joint Venture Bursary,https://stanglobal.net/bombela-civils-joint-venture-bursary/
Buffalo City Metropolitan Municipality Bursary,https://stanglobal.net/buffalo-city-metropolitan-municipality-bursary/
Cape Agulhas Municipality Bursary,https://stanglobal.net/cape-agulhas-municipality-bursary-2/
Cape Winelands District Municipality Mayoral Bursary,https://stanglobal.net/cape-winelands-district-municipality-mayoral-bursary/
Construction Education and Training Authority (CETA) Thapelo Madibeng Bursary,https://stanglobal.net/ceta-thapelo-madibeng-madibeng/
CHS Developments Bursary,https://stanglobal.net/chs-developments-bursary/
Department of Public Works Bursary,https://stanglobal.net/department-of-public-works-bursary/
Department of Water & Sanitation Bursary,https://stanglobal.net/department-of-water-sanitation-bursary/
eThekwini Municipality Bursary,https://stanglobal.net/ethekwini-municipality-bursary/
Eastern Cape Department of Public Works Bursary,https://stanglobal.net/eastern-cape-department-of-public-works-bursary/
Ekurhuleni Metropolitan Municipality Bursary,https://stanglobal.net/ekurhuleni-metropolitan-municipality-bursary/
Emadlangeni Municipality Bursary,https://stanglobal.net/emadlangeni-municipality-bursary/
Engcobo Local Municipality Bursary,https://stanglobal.net/engcobo-local-municipality-bursary/
Ephraim Mogale Local Municipality Bursary,https://stanglobal.net/ephraim-mogale-local-municipality-bursary/
Exxaro Bursary,https://stanglobal.net/exxaro-bursary-application-for/
GAST Bursary,https://stanglobal.net/gast-bursary-application-for/
Gauteng Dept of Infrastructure Development Bursary,https://stanglobal.net/gauteng-dept-of-infrastructure-development-bursary/
Gauteng Dept of Roads and Transport Bursary,https://stanglobal.net/gauteng-dept-of-roads-and-transport-bursary/
Gauteng Department of Human Settlements Bursary,https://stanglobal.net/gauteng-department-of-human-settlements-bursary/
GIBB Bursary,https://stanglobal.net/gibb-bursary-application-for/
Golder Associates Bursary,https://stanglobal.net/golder-associates-bursary/
Group Five Bursary,https://stanglobal.net/group-five-bursary-application-for/
Hatch Bursary,https://stanglobal.net/hatch-bursary-application-for/
Haw & Inglis Bursary,https://stanglobal.net/haw-inglis-bursary-application-for/
Hillary Construction Bursary,https://stanglobal.net/hillary-construction-bursary-application-for/
IMESA Bursary,https://stanglobal.net/imesa-bursary-application-for/
Industrial Development Corporation (IDC) Bursary,https://stanglobal.net/industrial-development-corporation-idc-bursary/
ISFAP Bursary,https://stanglobal.net/isfap-bursary-application/
iSimangaliso Wetland Park Bursary,https://stanglobal.net/isimangaliso-wetland-park-bursary/
iX Engineers Bursary,https://stanglobal.net/ix-engineers-bursary-application/
Johannesburg Water Bursary,https://stanglobal.net/johannesburg-water-bursary/
Jones & Wagener Bursary,https://stanglobal.net/jones-wagener-bursary/
J.P. Morgan Bursary,https://stanglobal.net/j-p-morgan-bursary-application/
Kantey & Templer Bursary,https://stanglobal.net/kantey-templer-bursary/
Knight Piésold Bursary,https://stanglobal.net/?p=27529&preview=true
Kumba Iron Ore Bursary,https://stanglobal.net/kumba-iron-ore-bursary/
KwaDukuza Municipality Bursary,https://stanglobal.net/kwadukuza-municipality-bursary-sa/
KwaZulu-Natal Department of Transport Bursary,https://stanglobal.net/kwazulu-natal-department-of-transport-bursary/
Kwazulu-Natal Government Bursaries (Department of Transport),https://stanglobal.net/kwazulu-natal-government-bursaries-sa/
Leomat Construction Bursary,https://stanglobal.net/leomat-construction-bursary/
"Limpopo Provincial Government (Public Works, Roads & Infrastructure) Bursary",https://stanglobal.net/limpopo-provincial-government-bursary/
Magalies Water Bursary,https://stanglobal.net/magalies-water-bursary/
Makhuduthamaga Local Municipality Bursary,https://stanglobal.net/makhuduthamaga-local-municipality-bursary-sa/
Masakh’iSizwe (Department of Transport and Public Works) Bursary,https://stanglobal.net/masakhisizwe-mis-bursary-sa/
Master Builders Association Bursary,https://stanglobal.net/master-builders-association-bursary/
Mossel Bay Municipality Bursary,https://stanglobal.net/mossel-bay-municipality-bursary-application/
Mpumalanga Provincial Government Bursary,https://stanglobal.net/mpumalanga-provincial-government-bursary/
Municipal Infrastructure Support Agent (MISA) Bursary,https://stanglobal.net/municipal-infrastructure-support-agent-bursary/
Murray & Roberts Bursary,https://stanglobal.net/murray-roberts-bursary-application-for/
Musina Local Municipality Bursary,https://stanglobal.net/musina-local-municipality-bursary/
Nelson Mandela Bay Municipality Bursary,https://stanglobal.net/nelson-mandela-bay-municipality-bursary/
North West Provincial Government Bursary,https://stanglobal.net/north-west-provincial-government-bursary/
NUMSA Bursary,https://stanglobal.net/numsa-bursary-application/
Oasis Bursary,https://stanglobal.net/oasis-bursary-application-process/
Okhahlamba Local Municipality Bursary,https://stanglobal.net/okhahlamba-local-municipality-bursary-sa/
Power Group Bursary,https://stanglobal.net/power-group-bursary-sa/
Railway Safety Regulator (RSR) Bursary,https://stanglobal.net/railway-safety-regulator-rsr-bursary/
Royal HaskoningDHV Bursary,https://stanglobal.net/royal-haskoningdhv-bursary/
SAICE SPEBS Bursary,https://stanglobal.net/saice-spebs-bursary-application-for/
Saldanha Bay Municipality Bursary,https://stanglobal.net/saldanha-bay-municipality-bursary/
SANRAL Bursary,https://stanglobal.net/sanral-bursary-application-for/
Santam Bursary,https://stanglobal.net/santam-bursary-application-sa/
Sappi Bursary,https://stanglobal.net/sappi-bursary-application-for/
SARS Bursary,https://stanglobal.net/sars-bursary-application-sa/
Sasol Bursary,https://stanglobal.net/sasol-bursary-application-for/
SEDISA Trust Bursary,https://stanglobal.net/sedisa-trust-bursary-application-for/
SEIFSA Bursary,https://stanglobal.net/seifsa-bursary-application-for/
SIOC Community Development Trust (SIOC-cdt) Bursary,https://stanglobal.net/sioc-community-development-trust-bursary/
South African Forestry Company Limited (SAFCOL) Bursary,https://stanglobal.net/safcol-bursary-application/
Standard Bank 150 Bursaries,https://stanglobal.net/standard-bank-150-bursaries/
Standard Bank Bursary,https://stanglobal.net/standard-bank-bursary-application/
Stefanutti Stocks Bursary,https://stanglobal.net/stefanutti-stocks-bursary/
Stellenbosch Municipality Bursary,https://stanglobal.net/stellenbosch-municipality-bursary/
TCTA (Trans-Caledon Tunnel Authority) Bursary,https://stanglobal.net/tctatrans-caledon-tunnel-authority-bursary/
The Msunduzi Municipality Bursary,https://stanglobal.net/the-msunduzi-municipality-bursary/
Tiber Construction Bursary,https://stanglobal.net/tiber-construction-bursary-application-for/
TOTAL Bursary,https://stanglobal.net/total-bursary-application-sa/
Transnet Bursary,https://stanglobal.net/transnet-bursary-application-for/
Umgeni Water Bursary,https://stanglobal.net/umgeni-water-bursary-application-for/
Upstream Training Trust Bursary,https://stanglobal.net/upstream-training-trust-bursary/
UWP Consulting Bursary,https://stanglobal.net/uwp-consulting-bursary-application-for/
V3 Consulting Engineers Bursary,https://stanglobal.net/v3-consulting-engineers-bursary/
VGI Consulting Bursary,https://stanglobal.net/vgi-consulting-bursary-application/
Vhembe District Municipality Mayoral Bursary,https://stanglobal.net/vhembe-district-municipality-mayoral-bursary/
WBHO Bursary,https://stanglobal.net/wbho-bursary-application-for/
WK Construction Bursary,https://stanglobal.net/wk-construction-bursary/
Zutari Bursary South Africa,https://stanglobal.net/zutari-bursary-south-africa/
Bombela Civils Joint Venture Bursary,https://stanglobal.net/bombela-civils-joint-venture-bursary/
Cape Winelands District Municipality Mayoral Bursary,https://stanglobal.net/cape-winelands-district-municipality-mayoral-bursary/
North West Provincial Government Bursary,https://stanglobal.net/north-west-provincial-government-bursary/
Mpumalanga Provincial Government Bursary,https://stanglobal.net/mpumalanga-provincial-government-bursary/
Accenture Scholarship,https://stanglobal.net/accenture-scholarship-application-for/
Access Trust Bursary,https://stanglobal.net/access-trust-bursary-sa/
AECOM Bursary,https://stanglobal.net/aecom-bursary-south-africa/
AfriSam Bursary,https://stanglobal.net/afrisam-bursary-application-sa/
Algoa Brick Bursary,https://stanglobal.net/algoa-brick-bursary-application-for/
Altech Bursary,https://stanglobal.net/altech-bursary-application/
Altron Bill Venter Academy Bursary,https://stanglobal.net/altron-bill-venter-academy-bursary/
Anglo American Coal Bursary,https://stanglobal.net/anglo-american-coal-bursary/
Anglo American Platinum Bursary,https://stanglobal.net/anglo-american-platinum-bursary/
ArcelorMittal Bursary,https://stanglobal.net/arcelormittal-bursary-application-for/
Armscor Bursary,https://stanglobal.net/armscor-bursary-application-for/
Astron Energy Bursary,https://stanglobal.net/astron-energy-bursary/
BHP Billiton Bursary,https://stanglobal.net/bhp-billiton-bursary-application-for/
Bigen Bursary,https://stanglobal.net/bigen-bursary-application-for/
Black Mountain Bursary,https://stanglobal.net/black-mountain-bursary-application-for/
BMW Bursary,https://stanglobal.net/bmw-bursary-application-for/
Buffalo City Metropolitan Municipality Bursary,https://stanglobal.net/buffalo-city-metropolitan-municipality-bursary/
Bushbuckridge Local Municipality Bursary,https://stanglobal.net/bushbuckridge-local-municipality-bursary/
Canyon Coal Bursary,https://stanglobal.net/canyon-coal-bursary-sa/
Cape Agulhas Municipality Bursary,https://stanglobal.net/cape-agulhas-municipality-bursary-2/
Cape Winelands District Municipality Mayoral Bursary,https://stanglobal.net/cape-winelands-district-municipality-mayoral-bursary/
CHIETA Bursary,https://stanglobal.net/chieta-bursary-application-for/
City of Cape Town Bursary,https://stanglobal.net/city-of-cape-town-bursary/
Construction Education and Training Authority (CETA) Thapelo Madibeng Bursary,https://stanglobal.net/ceta-thapelo-madibeng-madibeng/
de Beers Bursary,https://stanglobal.net/de-beers-bursary-application-for/
Department of Mineral Resources Bursary,https://stanglobal.net/department-of-mineral-resources-bursary/
Department of Public Works Bursary,https://stanglobal.net/department-of-public-works-bursary/
Department of Water & Sanitation Bursary,https://stanglobal.net/department-of-water-sanitation-bursary/
DRDGOLD Bursary,https://stanglobal.net/drdgold-bursary-sa/
eThekwini Municipality Bursary,https://stanglobal.net/ethekwini-municipality-bursary/
Eastern Cape Department of Public Works Bursary,https://stanglobal.net/eastern-cape-department-of-public-works-bursary/
Egis Operation South Africa Bursary,https://stanglobal.net/egis-operation-south-africa-bursary/
Ekurhuleni Metropolitan Municipality Bursary,https://stanglobal.net/ekurhuleni-metropolitan-municipality-bursary/
Element Six Bursary,https://stanglobal.net/element-six-bursary-application/
Engcobo Local Municipality Bursary,https://stanglobal.net/engcobo-local-municipality-bursary/
Ephraim Mogale Local Municipality Bursary,https://stanglobal.net/ephraim-mogale-local-municipality-bursary/
Eskom Bursaries,https://stanglobal.net/eskom-bursaries-application-sa/
Exxaro Bursary,https://stanglobal.net/exxaro-bursary-application-for/
FoodBev SETA Bursary,https://stanglobal.net/foodbev-seta-bursary-application/
Foskor Bursary,https://stanglobal.net/foskor-bursary-application-for-2/
Gauteng Dept of Infrastructure Development Bursary,https://stanglobal.net/gauteng-dept-of-infrastructure-development-bursary/
